Title;Subtitle;Date;Author;Section
Hades стала игрой года по версии Game Developers Choice Awards 2021;А главный приз IGF Awards достался Umurangi Generation.;22.07.2021;Георгий Киракосян;Индустрия
В PS Store подешевели Days Gone и The Last of Us Part II;Вплоть до двух с чем-то тысяч рублей.;22.07.2021;Владимир Макаров;Скидки
Вот почему New World перегревает RTX 3090 — «она слишком мощная»;Впрочем, судя по всему, рекомендации как минимум помогают не всем.;22.07.2021;Владимир Макаров;Игровые новости
Следующий фестиваль «Играм быть» пройдёт в Steam в начале октября;Игроков ждут сотни демоверсий готовящихся проектов.;22.07.2021;Владимир Макаров;Игровые новости
Певица и актриса Лесли Грейс сыграет Бэтгёрл в фильме для HBO Max;За постановку «Бэтгёрл» отвечают Адиль Эль Арби и Билал Фалла, которые срежиссировали «Плохие парни навсегда».;22.07.2021;Владимир Макаров;Кино
К Sniper Ghost Warrior Contracts 2 выпустили DLC Butcher’s Banquet;С новым регионом, контрактами и целями.;21.07.2021;Светлана Нелипа;Игровые новости
VR-боевик Fracked выходит 20 августа;Демоверсия игры уже доступна.;21.07.2021;Светлана Нелипа;Игровые новости
Разрушитель в бою: опубликованы записи игрового процесса Aliens: Fireteam Elite;В видео показан класс Demolisher и некоторые другие.;21.07.2021;Светлана Нелипа;Игровые новости
Ubisoft покинул арт-директор Assassin's Creed Рафаэль Лакост;Он проработал в студии 16 лет.;21.07.2021;Александр Аммосов;Индустрия
Нарисованная шариковой ручкой Inked выйдет на консолях;На РС и мобильных устройствах игра уже доступна.;21.07.2021;Светлана Нелипа;Игровые новости
Хакерская метроидвания Recompile выходит 19 августа;На PlayStation 5, Xbox Series и PC.;21.07.2021;Светлана Нелипа;Игровые новости
Объявлен актёрский состав анимационной экранизации Injustice;Премьера ожидается этой осенью.;21.07.2021;Александр Аммосов;Кино
Продажи Detroit: Become Human на PS4 и PC превысили 6 млн копий;Чуть меньше года назад показатель продаж был на миллион меньше.;21.07.2021;Владимир Макаров;Игровые новости
Релиз Lemnis Gate отложили до конца сентября;Игра выйдет на PlayStation 5, Xbox Series, PlayStation 4, Xbox One, и PC (через Steam).;21.07.2021;Светлана Нелипа;Игровые новости
В релизном трейлере The Witcher: Monster Slayer Плотва стала велосипедом;Мобильная игра доступна на iOS и Android.;21.07.2021;Александр Аммосов;Игровые новости
Карточный баттлер Poker Quest вышел в ранний доступ;И получает положительные отзывы.;21.07.2021;Светлана Нелипа;Игровые новости
Взрыв Луны, смерть Земли: анонсирована стратегия Sphere — Flying Cities;Её издателем выступает Assemble Entertainment.;21.07.2021;Светлана Нелипа;Игровые новости
Демоны и VR в трейлере хоррора «Демоник» автора «Района №9»;Лента появится на цифровых площадках уже 20 августа.;21.07.2021;Александр Аммосов;Кино
Свежий трейлер Ghost of Tsushima посвятили острову Ики из DLC;История крутится вокруг шамана.;21.07.2021;Михаил Шевкун;Игровые новости
The Last Video Store позволит побывать в последнем в мире пункте видеопроката;Над игрой работают создатели Sinfeld Remastered.;21.07.2021;Светлана Нелипа;Игровые новости
MOBA про покемонов Pokemon Unite вышла на Nintendo Switch с приятным бонусом;На iOS и Android в сентябре.;21.07.2021;Михаил Шевкун;Игровые новости
Amazon создаёт мини-сериал по «Сыновьям Ананси» Нила Геймана;Всего будет шесть эпизодов.;21.07.2021;Александр Аммосов;Кино
Ролевая игра Cris Tales заработала более 70% положительных отзывов;И примерно такой же балл на Metacritic.;21.07.2021;Светлана Нелипа;Игровые новости
«Ведьмаки — бессовестные негодяи»: новый тизер «Кошмара волка» о Весемире;Премьера полнометражной ленты состоится на Netflix 23 августа.;21.07.2021;Александр Аммосов;Кино
New World от Amazon становится неожиданным хитом в Steam;Первый игровой успех Amazon?;21.07.2021;Михаил Шевкун;Игровые новости
